accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,category
-1.18,0.34,9.7,0.09,-0.13,0.02,22.66,1
-1.52,1.23,10.14,0.07,-0.14,0.06,22.65,1
-1.7,1.31,9.95,-0.09,0.08,0.06,22.66,1
-1.38,1.22,9.79,-0.15,0.14,-0.06,22.67,1
-0.96,1.18,10.49,0.2,0.07,-0.11,22.67,1
-1.59,0.51,8.41,-0.08,0.31,0.02,22.67,1
-2.12,0.29,8.43,-0.07,0.11,0.08,22.66,1
-1.85,0.5,8.17,-0.04,-0.04,0.08,22.67,1
-0.93,0.47,7.49,-0.13,0.08,0.07,22.67,1
-1.79,0.76,6.91,0.1,-0.14,-0.09,22.67,1
-1.1,0.77,7.77,-0.08,-0.22,0.07,22.67,1
-1.54,1.07,8.77,0.18,-0.42,-0.05,22.67,1
-0.58,1.7,10.12,-0.15,-0.31,0.17,22.67,1
-0.37,0.98,9.08,-0.14,-0.18,0.17,22.68,1
-0.17,0.79,9.6,-0.17,-0.35,-0.03,22.68,1
-0.08,0.43,10.37,-0.06,-0.38,0.01,22.68,1
-0.32,0.6,10.7,0.01,-0.14,-0.05,22.69,1
-0.66,0.12,10.73,0.01,0.01,-0.07,22.69,1
0.07,0.36,10.61,0.05,0.17,0.08,22.7,1
-0.23,0.31,9.8,0.24,0.32,-0.05,22.69,1
-0.43,0.8,8.78,0.13,0.29,-0.12,22.69,1
-0.9,0.54,8.54,0.09,0.11,-0.04,22.69,1
-1.13,0.61,8.04,-0.09,0.04,-0.01,22.69,1
-0.75,0.19,8.13,0.01,0.01,-0.02,22.68,1
-0.8,0.46,6.79,0.03,0.08,-0.14,22.68,1
-1.15,0.62,7.72,0.15,-0.27,-0.08,22.68,1
-0.9,0.44,8.32,0.14,-0.27,-0.02,22.68,1
-1.05,-0.01,8.6,0.03,-0.25,0.07,22.69,1
-1.02,0.61,9.72,-0.02,-0.26,-0.07,22.68,1
-0.53,0.11,9.83,-0.11,-0.24,-0.03,22.68,1
-0.09,0.02,9.03,-0.05,-0.3,0.12,22.67,1
-0.62,-0.2,10.66,-0.02,-0.49,-0.08,22.68,1
0.13,-0.68,11.59,0.06,-0.17,-0.05,22.7,1
-0.19,-0.16,10.91,-0.01,0.17,-0.01,22.69,1
-0.22,-0.55,10.02,-0.03,0.25,-0.03,22.7,1
-0.03,0.45,9.12,0.17,0.38,0.02,22.69,1
-0.86,0.23,9.01,-0.0,0.37,-0.11,22.69,1
-1.07,-0.12,8.32,-0.03,0.26,-0.08,22.68,1
-1.7,0.09,8.2,0.05,-0.02,-0.09,22.69,1
-0.87,0.22,7.68,-0.0,-0.04,-0.03,22.69,1
-1.38,0.06,6.95,0.11,-0.03,-0.09,22.69,1
-1.27,0.81,7.69,0.12,-0.26,-0.11,22.68,1
-0.97,0.48,8.61,-0.09,-0.27,-0.1,22.68,1
-0.33,-0.22,9.54,-0.15,-0.24,0.04,22.69,1
-0.6,0.2,9.85,-0.12,-0.08,0.29,22.69,1
-0.48,0.48,9.74,-0.29,-0.08,0.25,22.7,1
-0.23,0.14,9.27,0.1,-0.36,0.04,22.7,1
-0.55,-0.05,10.33,-0.02,-0.4,-0.05,22.69,1
-0.31,-0.33,11.36,0.12,-0.17,-0.09,22.7,1
-0.07,-0.1,10.56,0.08,0.16,-0.01,22.71,1
-0.19,-0.33,10.23,0.14,0.11,0.04,22.7,1
-0.56,0.38,9.59,0.04,0.4,0.03,22.7,1
-1.09,0.44,8.88,0.13,0.28,-0.11,22.7,1
-1.1,0.48,8.26,0.09,0.21,-0.08,22.69,1
-1.57,0.34,7.89,-0.02,0.13,0.04,22.68,1
-1.1,0.05,7.51,-0.09,0.06,0.02,22.69,1
-1.75,0.39,7.26,0.04,-0.05,-0.05,22.69,1
-1.21,0.82,8.16,-0.02,-0.19,-0.05,22.69,1
-1.08,0.35,8.29,-0.06,-0.1,-0.18,22.68,1
-1.11,0.76,9.35,-0.1,-0.18,0.1,22.69,1
-0.6,0.49,9.76,0.0,-0.25,0.17,22.69,1
-0.36,0.76,9.54,0.04,-0.29,0.26,22.69,1
-0.53,0.84,9.45,0.02,-0.24,0.14,22.69,1
-0.74,0.81,10.1,-0.09,-0.38,-0.08,22.69,1
-0.09,0.13,11.18,0.12,-0.25,-0.05,22.7,1
-0.16,0.04,10.65,0.08,-0.03,-0.12,22.69,1
-0.39,-0.23,9.62,0.13,0.15,-0.07,22.69,1
-0.26,0.29,9.61,-0.02,0.23,-0.09,22.69,1
-0.28,0.54,9.06,-0.02,0.29,-0.04,22.69,1
-0.71,0.57,8.53,-0.1,0.17,-0.09,22.69,1
-0.28,0.56,8.46,-0.01,0.05,-0.15,22.69,1
-0.64,0.33,7.83,0.02,0.25,-0.08,22.69,1
-1.67,-0.08,6.46,0.07,0.05,-0.03,22.69,1
-1.63,0.14,7.21,0.08,-0.13,-0.06,22.69,1
-0.88,0.97,8.83,0.05,-0.04,0.04,22.69,1
-1.45,0.04,9.82,-0.16,-0.26,0.09,22.69,1
-0.82,0.3,9.98,-0.1,-0.28,0.1,22.68,1
-0.35,0.73,8.97,-0.16,-0.22,0.01,22.69,1
-0.41,-0.43,9.7,-0.37,-0.37,0.04,22.69,1
-0.27,-0.45,11.12,-0.07,-0.33,-0.0,22.69,1
0.19,-0.34,11.35,0.06,-0.02,0.04,22.7,1
0.15,0.39,10.35,-0.01,0.21,0.06,22.69,1
-0.22,0.14,10.07,-0.03,0.33,-0.04,22.7,1
0.06,0.05,9.32,0.17,0.29,-0.08,22.69,1
-0.5,0.46,8.71,0.22,0.24,0.03,22.69,1
-1.01,1.05,8.93,0.08,0.15,-0.07,22.68,1
-0.54,0.8,8.17,-0.04,0.12,-0.01,22.68,1
-0.35,0.61,6.85,-0.06,0.15,0.01,22.67,1
-1.41,0.02,7.0,-0.07,-0.01,-0.06,22.67,1
-1.37,0.21,7.95,-0.01,-0.04,-0.11,22.67,1
-1.11,-0.05,8.76,-0.05,0.01,-0.11,22.68,1
-1.9,-0.31,10.21,0.06,-0.39,0.07,22.69,1
-0.97,0.4,9.67,0.05,-0.38,0.09,22.68,1
-0.33,0.47,9.39,-0.06,-0.36,0.06,22.68,1
-0.47,0.04,9.36,-0.04,-0.37,-0.03,22.68,1
-0.19,-0.12,10.07,-0.06,-0.26,-0.02,22.69,1
-0.31,-0.23,10.42,0.02,-0.14,-0.04,22.69,1
-0.14,-0.24,11.0,0.18,-0.03,0.03,22.68,1
0.07,0.04,10.65,0.04,0.26,0.05,22.69,1
-0.62,0.39,9.54,0.16,0.35,-0.08,22.7,1
-0.37,0.78,8.62,0.07,0.28,0.06,22.69,1
-0.99,0.37,8.18,-0.08,0.2,-0.03,22.69,1
-0.92,0.09,8.08,0.06,0.1,-0.12,22.68,1
-0.32,0.19,7.5,-0.01,0.1,-0.0,22.67,1
-1.81,0.21,6.93,0.03,0.06,0.05,22.68,1
-1.69,0.47,7.89,-0.04,-0.16,-0.06,22.68,1
-1.73,-0.12,8.06,-0.18,0.11,0.04,22.67,1
-1.5,-0.24,9.06,-0.33,-0.33,0.21,22.69,1
-0.59,-0.55,9.82,-0.01,-0.53,0.1,22.69,1
-0.44,-0.51,9.7,-0.05,-0.42,0.05,22.69,1
0.28,-0.06,10.26,0.02,-0.47,-0.0,22.68,1
-0.05,-0.05,10.74,-0.09,-0.33,-0.19,22.69,1
0.23,-0.81,11.63,0.12,-0.09,-0.03,22.68,1
0.4,0.39,10.97,0.08,0.3,-0.1,22.69,1
0.28,0.27,10.12,0.12,0.35,-0.13,22.69,1
0.22,0.4,8.67,0.13,0.37,-0.11,22.69,1
-0.26,0.29,8.39,0.17,0.22,0.02,22.68,1
-1.29,0.45,8.1,0.16,0.15,-0.04,22.68,1
-1.05,0.52,8.24,-0.01,0.18,0.04,22.67,1
-0.74,0.45,7.54,0.0,0.1,-0.04,22.68,1
-1.63,0.38,7.55,-0.1,0.03,-0.04,22.69,1
-0.94,0.79,8.25,-0.12,-0.1,-0.06,22.68,1
-1.07,0.7,8.98,-0.08,-0.19,0.07,22.68,1
-1.41,0.02,9.01,-0.34,-0.12,0.29,22.68,1
-0.79,-0.01,9.51,-0.08,-0.49,0.23,22.68,1
