accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,category
1.27,7.73,-4.34,-2.95,0.86,-0.26,22.67,4
1.21,9.66,-1.43,-3.28,1.15,0.76,22.69,4
1.87,9.33,2.86,-4.19,0.76,1.07,22.68,4
1.5,8.33,5.66,-3.44,0.55,0.3,22.68,4
0.91,4.2,8.0,-2.9,0.77,-0.94,22.69,4
-0.31,1.98,9.2,-2.2,0.34,-0.45,22.69,4
-0.78,0.54,9.45,-1.89,0.35,-0.21,22.7,4
-0.52,-2.34,8.32,-1.67,-0.19,0.05,22.69,4
-1.02,-2.41,8.31,0.1,-0.13,0.16,22.7,4
-0.64,-2.33,8.08,1.51,-0.48,0.42,22.7,4
-1.04,1.01,9.62,2.26,-0.29,0.4,22.71,4
-0.51,2.85,9.07,2.48,-0.5,0.1,22.7,4
0.91,4.58,7.57,2.68,-0.43,0.19,22.71,4
1.1,7.41,5.02,3.0,-0.4,0.7,22.71,4
1.57,10.32,1.84,3.27,-0.51,0.3,22.72,4
2.35,9.71,-1.49,3.01,-0.55,0.03,22.72,4
2.23,8.99,-5.11,3.23,-0.68,0.18,22.72,4
1.75,6.64,-8.23,3.64,-0.88,0.16,22.73,4
0.6,2.89,-10.12,3.24,-0.87,0.01,22.73,4
-0.15,-1.2,-10.53,3.97,-0.58,0.23,22.73,4
-1.11,-5.25,-8.38,4.58,0.12,0.11,22.72,4
0.13,-8.55,-3.93,2.65,-0.17,-0.18,22.74,4
-0.65,-9.33,-1.7,1.94,0.0,0.54,22.74,4
-2.04,-9.66,-0.47,2.14,0.07,0.67,22.74,4
-2.01,-8.57,3.16,3.46,-0.15,-0.37,22.73,4
-1.62,-6.42,6.69,3.07,0.1,0.14,22.73,4
-1.98,-3.85,7.57,2.23,0.09,0.39,22.74,4
-2.42,-1.95,8.67,1.79,-0.03,0.48,22.73,4
-2.48,0.47,8.85,1.44,-0.26,0.24,22.73,4
-2.26,1.92,8.84,0.81,-0.38,0.04,22.74,4
-2.07,1.6,9.85,-0.14,-0.05,-0.05,22.74,4
-1.84,1.09,9.46,-1.47,0.28,0.17,22.74,4
-2.88,-0.7,8.34,-2.12,0.59,0.15,22.75,4
-3.68,-3.06,7.89,-3.46,0.52,0.39,22.74,4
-4.15,-5.81,4.78,-4.66,0.27,0.16,22.75,4
-4.17,-8.61,-1.34,-3.78,0.21,0.14,22.75,4
-4.44,-8.65,-3.64,-2.15,0.08,-0.09,22.76,4
-4.26,-6.94,-5.08,-2.25,0.18,-0.06,22.75,4
-4.13,-5.95,-7.34,-1.82,0.2,-0.39,22.75,4
-3.34,-5.45,-7.97,-1.95,0.86,-0.12,22.75,4
-3.63,-3.27,-9.64,-0.89,0.16,0.18,22.76,4
-3.69,-1.56,-9.09,-1.26,0.25,0.19,22.75,4
-3.36,-1.19,-10.25,-1.41,-0.15,0.17,22.76,4
-1.61,0.65,-9.35,-2.13,0.06,-0.08,22.75,4
-2.76,2.71,-9.46,-2.67,1.22,0.81,22.75,4
-0.13,6.02,-7.71,-3.37,1.65,0.49,22.74,4
1.32,8.35,-4.71,-3.7,1.64,0.42,22.74,4
2.57,9.55,-0.87,-3.0,1.5,0.27,22.74,4
2.1,9.49,2.97,-3.26,1.3,-0.32,22.74,4
1.27,7.8,5.38,-3.44,0.62,-0.09,22.73,4
1.53,5.3,7.74,-2.39,0.68,-0.23,22.75,4
0.12,3.59,9.07,-1.69,0.57,-0.75,22.74,4
-0.11,0.52,9.07,-1.56,0.34,-0.63,22.74,4
-1.0,-0.26,9.48,-1.37,0.24,-0.5,22.74,4
-0.73,-3.24,7.99,-1.24,-0.05,-0.44,22.73,4
-0.99,-3.14,8.65,0.31,0.09,-0.33,22.75,4
-0.79,-2.13,8.17,2.26,-0.64,0.19,22.74,4
0.1,2.04,7.96,3.56,-0.94,0.55,22.75,4
1.48,6.08,6.75,3.68,-0.67,0.12,22.75,4
0.83,10.15,2.95,4.11,-0.46,0.13,22.75,4
0.3,11.1,-1.2,4.04,-0.72,0.03,22.76,4
0.88,8.81,-5.51,3.61,-0.85,-0.09,22.75,4
0.75,6.14,-9.4,4.55,-0.85,-0.25,22.76,4
