accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,category
-0.46,1.5,9.56,-0.23,0.0,0.4,21.56,0
0.02,2.86,9.04,0.03,0.07,-0.15,21.57,0
-0.38,0.82,9.06,0.07,0.06,-0.49,21.57,0
-0.65,0.52,8.87,0.02,-0.12,-0.56,21.58,0
-0.4,0.23,9.42,0.15,-0.17,-0.53,21.57,0
-0.14,0.54,9.13,0.0,-0.11,-0.39,21.59,0
0.03,-0.19,9.43,-0.0,-0.02,-0.27,21.59,0
-0.36,-0.49,8.95,-0.15,0.02,-0.24,21.6,0
-0.34,-0.72,9.29,-0.04,-0.01,-0.1,21.59,0
-0.35,-0.76,9.24,0.03,0.01,0.05,21.59,0
-0.4,-1.32,9.2,-0.03,-0.17,-0.08,21.59,0
0.12,-2.11,9.15,-0.01,-0.18,-0.06,21.6,0
-0.26,-1.85,9.19,0.04,-0.18,0.08,21.59,0
-0.35,-1.19,9.2,-0.04,-0.07,0.23,21.6,0
-0.14,-0.97,9.31,-0.07,0.13,0.26,21.6,0
0.03,-0.8,9.35,0.01,0.04,0.49,21.59,0
0.03,-0.15,9.18,-0.02,0.08,0.55,21.59,0
-0.28,0.03,9.16,-0.08,0.07,0.57,21.59,0
-0.42,0.31,9.25,-0.01,0.1,0.55,21.59,0
-0.42,0.67,8.8,0.06,-0.0,0.42,21.6,0
-0.17,0.67,9.19,0.04,-0.12,0.37,21.59,0
-0.15,1.63,9.29,0.03,-0.02,0.36,21.6,0
-0.25,2.12,9.33,0.01,0.05,-0.04,21.6,0
-0.23,1.55,9.4,0.08,0.04,-0.45,21.61,0
-0.47,0.8,8.92,-0.1,0.08,-0.51,21.61,0
-0.24,0.49,9.29,0.05,-0.02,-0.6,21.61,0
-0.62,0.17,9.2,-0.01,0.06,-0.61,21.61,0
-0.96,-0.13,8.89,-0.06,0.0,-0.44,21.6,0
-0.86,-0.57,9.06,-0.09,0.02,-0.4,21.61,0
-0.73,-1.14,8.99,0.01,-0.2,-0.17,21.61,0
-0.76,-1.32,9.16,-0.1,-0.07,-0.11,21.62,0
0.21,-1.11,9.51,0.16,-0.21,-0.01,21.62,0
-0.22,-2.74,9.11,0.01,-0.1,-0.14,21.61,0
-0.47,-2.43,9.23,0.15,-0.14,0.03,21.62,0
-0.48,-1.66,8.99,0.1,-0.05,0.18,21.62,0
0.04,-0.79,9.43,0.21,-0.07,0.33,21.61,0
-0.2,0.12,9.15,0.18,-0.02,0.44,21.6,0
0.15,0.46,9.43,-0.13,-0.07,0.38,21.6,0
-0.71,0.37,9.16,-0.37,0.14,0.44,21.61,0
-0.47,0.3,9.18,0.01,0.05,0.49,21.61,0
-0.58,0.94,9.1,-0.04,0.07,0.48,21.62,0
-0.62,0.35,9.12,-0.1,-0.01,0.26,21.62,0
-0.5,1.53,8.97,0.02,0.01,0.36,21.62,0
-0.86,2.12,9.09,-0.04,0.01,-0.2,21.61,0
-0.9,1.47,8.92,0.12,-0.08,-0.53,21.63,0
-0.58,0.47,9.02,0.01,-0.06,-0.52,21.62,0
-0.48,0.29,9.33,0.15,0.06,-0.7,21.62,0
-0.64,0.0,9.11,0.05,0.04,-0.52,21.62,0
-0.91,-0.26,8.73,0.04,-0.12,-0.47,21.62,0
-0.82,-0.53,9.08,0.04,-0.14,-0.23,21.61,0
-0.79,-0.38,9.26,-0.12,0.02,-0.01,21.63,0
-0.54,-0.62,9.58,-0.03,-0.09,0.1,21.62,0
-0.17,-0.72,9.08,-0.08,-0.03,-0.02,21.62,0
-0.6,-1.89,9.0,-0.08,-0.16,-0.06,21.63,0
